CTR ID,Customer ID,Branch,Txn Date,Amount (PHP),Type,Status,Filed Date
3f45aaad70527148d3db9d19f521dc8e,CUSTB90AC8E7-A76,,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
1ba069798ee6c80af577820f4a62f64e,CUST41C629F4-623,,2026-05-08,500000.00,SINGLE_CASH,PENDING,
4dcbb0821420051172a19fe59cbadddf,CUST68E16772-C1F,,2026-05-08,500000.00,SINGLE_CASH,PENDING,
c5e45cd27b94b3f449201540e597a656,CUST9F487871-D1B,DVO001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
97e89c5ea1533e65740f401f29cd0170,CUST319B2442-4F2,MKT001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
4cd361feba9e6c8bfce58eb9f534943b,CUST454610BE-B59,CEB001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
5030792196cfd976a03ffa6edf427a9c,CUSTEAC614CA-468,,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
26c67eb6c450dca5a7c7ffd9336b5f9e,CUST2FE1F7BA-843,,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
35df9d03db50e2cb0a031871d07e75c9,CUST2BBA7A8B-7AC,CEB001,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
26fd4145b916f9318388a2c09b8a8552,CUSTAAD2104E-69C,CEB001,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
4abe21d6d5aa2352c7308fd808b58e12,CUSTA29E2C33-9F7,,2026-05-08,500000.00,SINGLE_CASH,PENDING,
5be52c4d78e64480acfb5ea97359ca27,CUSTB7C541B9-8A6,DVO001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
1a772158fb6c0e24b8055475b8ec52c3,CUSTA1E6B541-06F,MKT001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
299d839ce4f504025ee758db6ff7bdca,CUSTB90AC8E7-A76,,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
6fdbe0941dd63e00b85dbd26e7871908,CUST4DB663B6-651,,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
d5fbddefcc673e0d0d576832daec7163,CUST70FC068F-766,CEB001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
0d0fc5e0edf67a5df5bd2f210e529a13,CUST162EA2D1-F94,MKT001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
9516dd094a63bf6235bf3455eac0aea0,CUSTD4DAF24D-560,MKT001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
24ccb117dea91adb8f0dd4526f5e4e71,CUST68E16772-C1F,,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
e8a64ca178be6b11ed8889502c4535f5,CUST755B2749-E2B,,2026-05-08,500000.00,SINGLE_CASH,PENDING,
96cc533f6ac8a3d8635e485c4eda783c,CUST5FEB429C-30A,MKT001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
fb3abe2288682f37b5ffc3c0726aabe1,CUSTA70D7E9A-082,DVO001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
672c0f6e9b3754c98e031feb504670f0,CUSTF3BD4FAC-34C,CEB001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
8f8a94c1d572f37dcf999e05dc4ff2a7,CUST9F487871-D1B,DVO001,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
5e5a1873ea79560dc8d1156c3e0d02c2,CUST5FEB429C-30A,MKT001,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
de6d7c329536c4f84d239458ac0cba19,CUST1E5E1DE6-D48,CEB001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
b6f09f04e423fc3007554ee54fbd41be,CUSTD42F744F-AFD,DVO001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
c96ba17c3e7911f67515a0953e8305a6,CUST8E8B83A2-D53,CEB001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
9632e51765772ed26f6165eceef7c6f2,CUST1B198EB9-DF4,MKT001,2026-05-08,1000000.00,SINGLE_CASH,PENDING,
25d40e27bf365f888d342618e5abc991,CUSTD4EF1638-AFB,MKT001,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
7c35909e3bd89fa8fe80f69494a9de35,CUSTC26C6BE9-60C,CEB001,2026-05-08,500000.00,SINGLE_CASH,PENDING,
bb2bda2baed8bd207b976754d5f8a540,CUST755B2749-E2B,,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
6fbffa0606aa8dab32bc49494098404b,CUST9F487871-D1B,DVO001,2026-05-08,457474.56,RELATED_CASH,PENDING,
c888925b12a164b54f6dcca859a2319f,CUSTD42F744F-AFD,DVO001,2026-05-08,157194.69,RELATED_CASH,PENDING,
d340362c5716ac44c7eea2beba099fcb,CUST0C4E02DB-691,DVO001,2026-05-08,486968.40,RELATED_CASH,PENDING,
b29c4f10c9dbc072e798719251775e1b,CUSTA2BD42C2-6B3,,2026-05-08,5000000.00,RELATED_CASH,PENDING,
2f93e39698d4d1fb952d0aecdcf9312b,CUSTA2BD42C2-6B3,,2026-05-08,5000000.00,SINGLE_CASH,PENDING,
dd8faad43b53a2e64b60b31f1d57a432,CUSTA70D7E9A-082,DVO001,2026-05-08,467702.39,RELATED_CASH,PENDING,
d695690821bfd6fc181acb596efaf17a,CUST023BB328-037,MKT001,2026-05-08,458528.05,RELATED_CASH,PENDING,
59fc41ec8265776487fcfe70b146c41e,CUSTDF2B8AA1-BFF,MKT001,2026-05-08,285317.49,RELATED_CASH,PENDING,
6477b24c9e2bf5b2bf73ec637b7e12a4,CUSTEA5BB60D-242,DVO001,2026-05-08,5000000.00,RELATED_CASH,PENDING,
